122,Hunter Henry,TE,141,127,116,128
123,Tyler Boyd,WR,125,134,126,128.3
124,Evan McPherson,K,133,152,101,128.7
125,Mike Gesicki,TE,113,147,127,129
126,San Francisco 49ers,Def,124,144,123,130.3
127,Darrell Henderson,RB,128,104,159,130.3
128,Garrett Wilson,WR,118,155,119,130.7
129,Alexander Mattison,RB,123,119,152,131.3
130,Matt Gay,K,136,162,114,137.3
131,Tua Tagovailoa,QB,146,132,135,137.7
132,Daniel Carlson,K,135,150,129,138
133,New Orleans Saints,Def,143,172,100,138.3
134,Harrison Butker,K,134,169,117,140
135,Michael Gallup,WR,142,124,155,140.3
136,Marquez Valdes-Scantling,WR,137,160,124,140.3
137,Julio Jones,WR,121,142,160,141
138,Kenneth Gainwell,RB,144,111,171,142
139,Jarvis Landry,WR,140,145,145,143.3
140,Indianapolis Colts,Def,149,146,136,143.7
141,Russell Gage,WR,153,141,138,144
142,Los Angeles Rams,Def,108,164,161,144.3
143,Green Bay Packers,Def,148,187,103,146
144,Jakobi Meyers,WR,171,135,132,146
145,Tyler Bass,K,138,159,144,147
146,Justin Fields,QB,159,136,148,147.7
147,Raheem Mostert,RB,187,117,141,148.3
148,Brian Robinson Jr.,RB,156,138,154,149.3
149,Dallas Cowboys,Def,139,180,131,150
150,Trevor Lawrence,QB,168,140,142,150
151,D.J. Chark Jr.,WR,173,133,149,151.7
152,J.D. McKissic,RB,172,121,163,152
153,Jahan Dotson,WR,162,148,146,152
154,Irv Smith Jr.,TE,170,131,162,154.3
155,David Njoku,TE,157,154,156,155.7
156,Tyler Allgeier,RB,163,126,184,157.7
157,Jamaal Williams,RB,177,128,168,157.7
158,Isaiah Spiller,RB,154,165,,159.5
159,Baltimore Ravens,Def,126,235,118,159.7
160,Khalil Herbert,RB,165,129,185,159.7
161,Los Angeles Chargers,Def,129,203,150,160.7
162,Jameis Winston,QB,167,149,166,160.7
163,DeVante Parker,WR,151,166,165,160.7
164,Zamir White,RB,179,143,,161
165,Matt Prater,K,145,186,157,162.7
166,Noah Fant,TE,192,153,151,165.3
167,Albert Okwuegbunam,TE,131,176,192,166.3
168,Tyler Higbee,TE,147,199,153,166.3
169,Rachaad White,RB,160,123,218,167
170,Romeo Doubs,WR,155,161,188,168
171,Brandon McManus,K,150,221,139,170
172,Mike Davis,RB,,170,,170
173,Rondale Moore,WR,158,163,189,170
174,Matt Ryan,QB,185,156,170,170.3
175,Denver Broncos,Def,161,177,194,177.3
176,Mecole Hardman Jr.,WR,188,167,178,177.7
177,Jeff Wilson Jr.,RB,,178,,178
178,Robert Tonyan,TE,180,151,203,178
179,Mark Ingram II,RB,164,173,202,179.7
180,Josh Palmer,WR,205,171,164,180
181,Isaiah McKenzie,WR,174,158,214,182
182,Nick Folk,K,166,241,140,182.3
183,Pittsburgh Steelers,Def,176,229,147,184
184,New England Patriots,Def,181,192,181,184.7
185,Alec Pierce,WR,197,174,,185.5
186,Darrel Williams,RB,218,157,,187.5
187,D'Onta Foreman,RB,211,168,,189.5
188,Jameson Williams,WR,186,194,,190
189,Kenny Golladay,WR,191,208,172,190.3
190,Ryan Tannehill,QB,215,181,177,191
191,Baker Mayfield,QB,202,198,174,191.3
192,Mac Jones,QB,184,216,176,192
193,Chuba Hubbard,RB,189,196,,192.5
194,Jalen Tolbert,WR,190,197,193,193.3
195,Younghoe Koo,K,152,250,180,194
196,Christian Watson,WR,169,220,,194.5
197,Carson Wentz,QB,,207,183,195
198,Ronald Jones II,RB,195,195,,195
199,Wan'Dale Robinson,WR,207,183,,195
200,Robbie Chosen,WR,217,201,167,195
201,Hayden Hurst,TE,212,188,187,195.7
202,Nico Collins,WR,203,175,209,195.7
203,Gerald Everett,TE,194,182,213,196.3
204,Kansas City Chiefs,Def,,189,205,197
205,Odell Beckham Jr.,WR,196,191,210,199
206,Miami Dolphins,Def,221,210,169,200
207,Evan Engram,TE,216,190,195,200.3
208,Greg Joseph,K,,219,182,200.5
209,Austin Hooper,TE,206,202,200,202.7
210,Marvin Jones Jr.,WR,228,224,158,203.3
211,Tyrion Davis-Price,RB,214,193,,203.5
212,Philadelphia Eagles,Def,199,237,179,205
213,Ameer Abdullah,RB,,205,,205
214,Ryan Succop,K,198,226,197,207
215,Sammy Watkins,WR,183,231,,207
216,Cleveland Browns,Def,200,225,198,207.7
217,Jared Goff,QB,237,184,208,209.7
218,Kenyan Drake,RB,229,179,221,209.7
219,Deshaun Watson,QB,193,238,201,210.7
220,Washington,Def,,249,173,211
221,Corey Davis,WR,,211,,211
222,Rodrigo Blankenship,K,178,244,212,211.3
223,Wil Lutz,K,201,223,211,211.7
224,Trey Sermon,RB,,212,,212
225,Daniel Jones,QB,236,213,190,213
226,Logan Thomas,TE,241,185,,213
227,Isaiah Likely,TE,,209,217,213
228,Eno Benjamin,RB,226,204,,215
229,Cincinnati Bengals,Def,223,251,175,216.3
230,Dontrell Hilliard,RB,227,206,,216.5
231,Chris Boswell,K,,236,199,217.5
232,K.J. Osborn,WR,208,228,,218
233,Gus Edwards,RB,220,218,,219
234,Parris Campbell,WR,238,200,,219
235,Jerick McKinnon,RB,225,217,,221
236,Davis Mills,QB,,222,,222
237,KJ Hamler,WR,210,234,,222
238,Cameron Brate,TE,233,215,,224
239,Jake Elliott,K,,239,215,227
240,Boston Scott,RB,,227,,227
241,Taysom Hill,TE,209,245,,227
242,Cade York,K,,252,204,228
243,Sony Michel,RB,242,214,,228
244,Dustin Hopkins,K,,230,,230
245,Van Jefferson,WR,219,242,,230.5
246,Minnesota Vikings,Def,,243,219,231
247,Marcus Mariota,QB,231,246,220,232.3
248,Rex Burkhead,RB,,233,,233
249,Donovan Peoples-Jones,WR,235,232,,233.5
250,Tennessee,Def,222,247,,234.5
251,Zach Wilson,QB,234,256,216,235.3
252,Brevin Jordan,TE,243,240,,241.5
253,Samaje Perine,RB,232,255,,243.5
254,Hassan Haskins,RB,240,248,,244
255,David Bell,WR,239,257,,248
256,Kendrick Bourne,WR,245,253,,249
257,Jason Sanders,K,,254,,254
258,Zack Moss,RB,,258,,258
