133,Graham Gano,K,8.5,145
134,Dalton Schultz,TE,9.5,142.7
135,Samaje Perine,RB,8.9,142.1
136,David Njoku,TE,10.1,142
136,Robbie Gould,K,8.4,142
138,Cam Akers,RB,9.4,141.3
139,Dallas Goedert,TE,11.8,141.2
140,Riley Patterson,K,8.2,140
141,Gerald Everett,TE,9.3,139.5
142,Rachaad White,RB,8.2,139.1
143,Jacksonville Jaguars,DST,8.2,139
143,Greg Zuerlein,K,8.2,139
145,Chase McLaughlin,K,8.6,138
146,Dawson Knox,TE,9,135.7
147,Isiah Pacheco,RB,7.9,135
147,Jason Sanders,K,7.9,135
147,Brandon McManus,K,7.9,135
150,Juwan Johnson,TE,8.4,134.8
151,Baltimore Ravens,DST,7.9,134
152,Greg Joseph,K,7.8,133
152,Ryan Succop,K,7.8,133
152,Matt Gay,K,7.8,133
155,Richie James Jr.,WR,8.3,132.5
156,Evan McPherson,K,7.8,132
156,Ka'imi Fairbairn,K,7.8,132
158,Tyler Conklin,TE,7.7,131.5
159,D'Onta Foreman,RB,8.2,131
160,Jahan Dotson,WR,10.9,130.6
161,Baker Mayfield,QB,10.8,129.4
162,Darius Slayton,WR,9.9,128.4
163,Kareem Hunt,RB,7.5,126.8
164,Michael Carter,RB,7.9,126
165,Russell Gage,WR,9.5,123.6
166,Noah Fant,TE,7.2,122.6
167,Marquez Valdes-Scantling,WR,7.2,122.4
168,Jake Elliott,K,7.6,122
169,Taylor Heinicke,QB,13.6,122
170,Carson Wentz,QB,15.2,121.8
171,Kansas City Chiefs,DST,7.1,121
171,Cade York,K,7.1,121
173,Mason Crosby,K,7.1,120
174,Isaiah McKenzie,WR,7.5,119.8
175,Carolina Panthers,DST,6.9,118
175,Michael Badgley,K,9.1,118
175,New York Jets,DST,6.9,118
178,Khalil Herbert,RB,9.1,117.8
179,Green Bay Packers,DST,6.9,117
179,Washington Commanders,DST,6.9,117
179,Seattle Seahawks,DST,6.9,117
182,Marvin Jones Jr.,WR,7.3,116.9
183,Jordan Akins,TE,7.8,116.5
184,Matthew Stafford,QB,12.9,116.4
185,Kalif Raymond,WR,6.8,116.2
186,Devin Duvernay,WR,8.3,116.1
187,Houston Texans,DST,6.8,116
187,Indianapolis Colts,DST,6.8,116
189,Robert Woods,WR,6.8,115.7
190,Zach Ertz,TE,11.6,115.6
191,Breece Hall,RB,16.4,115.1
192,Chris Moore,WR,7.7,115.1
193,Cincinnati Bengals,DST,6.8,115
193,New Orleans Saints,DST,6.8,115
193,Joey Slye,K,6.8,115
196,Noah Brown,WR,7.2,114.5
197,Wil Lutz,K,6.7,114
198,Greg Dortch,WR,7.1,113.1
199,Brian Robinson Jr.,RB,9.4,112.7
200,DeAndre Carter,WR,6.6,112.3
200,Alec Pierce,WR,7,112.3
202,Robert Tonyan,TE,6.6,112
203,Brock Purdy,QB,12.3,110.3
204,Olamide Zaccheaus,WR,6.5,110
205,Hayden Hurst,TE,7.9,109.9
206,James Cook,RB,6.3,107.5
